operator_slug,source_operator_name,username,login_email,target_segment,total_wells,oil_wells,clearwater_wells,bluesky_wells,recommended_pilot,pilot_flag,onboarding_status,import_status,smoke_test_status,notes
new-times-energy-canada-gp-3-ltd,New Times Energy Canada GP 3 Ltd.,new-times-energy-canada-gp-3-ltd,new-times-energy-canada-gp-3-ltd@wellfi.local,gas-only-review,11,0,0,11,,,planned,pending,pending,
direct-oil-and-gas-inc,Direct Oil & Gas Inc.,direct-oil-and-gas-inc,direct-oil-and-gas-inc@wellfi.local,gas-only-review,10,0,0,10,,,planned,pending,pending,
hwn-energy-ltd,HWN Energy Ltd.,hwn-energy-ltd,hwn-energy-ltd@wellfi.local,gas-only-review,10,0,0,10,,,planned,pending,pending,
tidewater-midstream-and-infrastructure-l,Tidewater Midstream and Infrastructure Ltd.,tidewater-midstream-and-infrastructure-l,tidewater-midstream-and-infrastructure-l@wellfi.local,gas-only-review,9,0,0,9,,,planned,pending,pending,
ovintiv-canada-ulc,Ovintiv Canada ULC,ovintiv-canada-ulc,ovintiv-canada-ulc@wellfi.local,gas-only-review,7,0,0,7,,,planned,pending,pending,
kelt-exploration-ltd,Kelt Exploration Ltd.,kelt-exploration-ltd,kelt-exploration-ltd@wellfi.local,gas-only-review,6,0,0,6,,,planned,pending,pending,
veren-inc,Veren Inc.,veren-inc,veren-inc@wellfi.local,gas-only-review,6,0,0,6,,,planned,pending,pending,
alphabow-energy-ltd,Alphabow Energy Ltd.,alphabow-energy-ltd,alphabow-energy-ltd@wellfi.local,gas-only-review,5,0,3,2,,,planned,pending,pending,
kiwetinohk-energy-corp,Kiwetinohk Energy Corp.,kiwetinohk-energy-corp,kiwetinohk-energy-corp@wellfi.local,gas-only-review,5,0,0,5,,,planned,pending,pending,
athabasca-oil-corporation,Athabasca Oil Corporation,athabasca-oil-corporation,athabasca-oil-corporation@wellfi.local,manual-review,4,0,4,0,,,planned,pending,pending,
logan-energy-corp,Logan Energy Corp.,logan-energy-corp,logan-energy-corp@wellfi.local,gas-only-review,4,0,0,4,,,planned,pending,pending,
sinopec-canada-energy-ltd,Sinopec Canada Energy Ltd.,sinopec-canada-energy-ltd,sinopec-canada-energy-ltd@wellfi.local,gas-only-review,4,0,0,4,,,planned,pending,pending,
archer-exploration-corp,Archer Exploration Corp.,archer-exploration-corp,archer-exploration-corp@wellfi.local,gas-only-review,3,0,0,3,,,planned,pending,pending,
astara-energy-corp,Astara Energy Corp.,astara-energy-corp,astara-energy-corp@wellfi.local,gas-only-review,3,0,0,3,,,planned,pending,pending,
bighorn-energy-corporation,Bighorn Energy Corporation,bighorn-energy-corporation,bighorn-energy-corporation@wellfi.local,gas-only-review,3,0,3,0,,,planned,pending,pending,
altair-energy-ltd,Altair Energy Ltd.,altair-energy-ltd,altair-energy-ltd@wellfi.local,gas-only-review,2,0,0,2,,,planned,pending,pending,
eagle-energy-inc,Eagle Energy Inc.,eagle-energy-inc,eagle-energy-inc@wellfi.local,gas-only-review,2,0,0,2,,,planned,pending,pending,
green-impact-operating-corp,Green Impact Operating Corp.,green-impact-operating-corp,green-impact-operating-corp@wellfi.local,manual-review,2,0,0,2,,,planned,pending,pending,
acquisition-oil-corp,Acquisition Oil Corp.,acquisition-oil-corp,acquisition-oil-corp@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
advantage-energy-ltd,Advantage Energy Ltd.,advantage-energy-ltd,advantage-energy-ltd@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
blue-sky-resources-ltd,Blue Sky Resources Ltd.,blue-sky-resources-ltd,blue-sky-resources-ltd@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
bonterra-energy-corp,Bonterra Energy Corp.,bonterra-energy-corp,bonterra-energy-corp@wellfi.local,manual-review,1,0,0,1,,,planned,pending,pending,
canlin-resources-partnership,Canlin Resources Partnership,canlin-resources-partnership,canlin-resources-partnership@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
enercapita-energy-ltd,Enercapita Energy Ltd.,enercapita-energy-ltd,enercapita-energy-ltd@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
pine-cliff-energy-ltd,Pine Cliff Energy Ltd.,pine-cliff-energy-ltd,pine-cliff-energy-ltd@wellfi.local,gas-only-review,1,0,1,0,,,planned,pending,pending,
repsol-oil-and-gas-canada-inc,Repsol Oil & Gas Canada Inc.,repsol-oil-and-gas-canada-inc,repsol-oil-and-gas-canada-inc@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
shell-canada-energy,Shell Canada Energy,shell-canada-energy,shell-canada-energy@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
vanrena-resources-ltd,Vanrena Resources Ltd.,vanrena-resources-ltd,vanrena-resources-ltd@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
vantage-point-resources-inc,Vantage Point Resources Inc.,vantage-point-resources-inc,vantage-point-resources-inc@wellfi.local,gas-only-review,1,0,1,0,,,planned,pending,pending,
yoho-resources-inc,Yoho Resources Inc.,yoho-resources-inc,yoho-resources-inc@wellfi.local,gas-only-review,1,0,0,1,,,planned,pending,pending,
